ID,TITLE,ARTIST,ALBUM,GENRE,YEAR,LOCATION
1,STYX HELIX,MYTH & ROID,STYX HELIX, ,UNKNOWN,D:\Music\Anime OSTs and Game Music\(01) [MYTH & ROID] STYX HELIX.flac
2,STRAIGHT BET,MYTH & ROID,STYX HELIX, ,UNKNOWN,D:\Music\Anime OSTs and Game Music\(02) [MYTH & ROID] STRAIGHT BET.flac
3,Diver,NICO Touches the Walls,Diver,Vocal,2011,D:\Music\Anime OSTs and Game Music\01 - Diver.flac
4,TOP (Japanese version),Stray Kids,TOP (Japanese version),Asian Music,2020,D:\Music\Anime OSTs and Game Music\01 - TOP (Japanese version).flac
5,Brave Shine,Aimer,Brave Shine,Asian Music,2015,D:\Music\Anime OSTs and Game Music\01 Brave Shine.flac
6,GLASSY SKY,Dona Burke,Tokyo Ghoul Original Soundtrack,Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\01 GLASSY SKY.flac
7,Cry Baby,Official髭男dism,Cry Baby,Anime,UNKNOWN,D:\Music\Anime OSTs and Game Music\01. Cry Baby.flac
8,Die For You,VALORANT,Die For You,Electronic,UNKNOWN,D:\Music\Anime OSTs and Game Music\01. Die For You.flac
9,ヒカレイノチ,Kitri,ヒカレイノチ,Anime,UNKNOWN,D:\Music\Anime OSTs and Game Music\01. ヒカレイノチ.flac
10,Sign,FLOW,Sign,Vocal,2010,D:\Music\Anime OSTs and Game Music\01_-_Sign.flac
11,Katharsis,TK from Ling tosite sigure,Katharsis,Asian Music,2018,D:\Music\Anime OSTs and Game Music\01_Katharsis.flac
12,SLUMP (Japanese version),Stray Kids,SLUMP (Japanese version),Asian Music,2020,D:\Music\Anime OSTs and Game Music\02 - SLUMP (Japanese version).flac
13,Stormy Glory,MYTH&ROID,HYDRA,anime,UNKNOWN,D:\Music\Anime OSTs and Game Music\02 Stormy Glory.flac
14,シンパシー,Kitri,ヒカレイノチ,Anime,UNKNOWN,D:\Music\Anime OSTs and Game Music\02. シンパシー.flac
15,Tango city,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\03-Tango city.flac
16,ヒカレイノチ (Instrumental),Kitri,ヒカレイノチ,Anime,UNKNOWN,D:\Music\Anime OSTs and Game Music\03. ヒカレイノチ (Instrumental).flac
17,Fireworks,FlowBack,Fireworks,Pop,2020,D:\Music\Anime OSTs and Game Music\1. Fireworks.flac
18,頑張りたい気持ち,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\15-頑張りたい気持ち.flac
19,多々良、進化,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\18-多々良、進化.flac
20,Berserker Bam,Kevin Penkin,TOWER OF GOD 『神之塔』 Original Soundtrack,J-POP/General,2020,D:\Music\Anime OSTs and Game Music\22. Berserker Bam.flac
21,Licht und Schatten,Yamada Yutaka,Tokyo Ghoul Original Soundtrack,Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\25 Licht und Schatten.flac
22,兵藤タンゴ,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\25-兵藤タンゴ.flac
23,多々良と千夏 新しい形,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\29-多々良と千夏 新しい形.flac
24,Gurenge,LiSA,紅蓮華,JPop,UNKNOWN,D:\Music\Anime OSTs and Game Music\Gurenge.flac
25,unravel,TK from Ling tosite sigure,unravel,Anime,UNKNOWN,D:\Music\Anime OSTs and Game Music\Tokyo Ghoul OP1 - Unravel.flac
26,ハルジオン,YOASOBI,ハルジオン,Wereldmuziek,2020,D:\Music\Anime OSTs and Game Music\YAOSOBI -  ハルジオン.flac
27,ただ声一つ,ロクデナシ,ただ声一つ,UNKNOWN,2021,D:\Music\Anime OSTs and Game Music\ロクデナシ - ただ声一つ.flac
28,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\01. Doushite Kimi wo Suki ni Natte Shimattandarou.mp3
29,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\08. Recorded Butterflies -studio live-.mp3
30,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\11. Spring is Miles Away.mp3
31,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\21. Opened Door.mp3
32,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\2WEI feat Ali Christenhusz - Retake.mp3
33,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Answers - Boruto.mp3
34,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\BABYMETAL - メギツネ - MEGITSUNE (OFFICIAL).mp3
35,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Boku no Hero Academia OST - Kimi no Chikara.mp3
36,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Boku no Hero Academia OST - My Hero Academia.mp3
37,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Boku no Hero Academia OST - Villains Theme.mp3
38,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Boku no Hero Academia Season 3 OST- Katsuki and Izuku .mp3
39,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Fairy Tail - Main Theme.mp3
40,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Fairy Tail 2014 Natsu's Theme .mp3
41,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Fairy Tail Natsu's Theme Extended ( 160kbps ).mp3
42,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Fairy Tail Sad Theme Song.mp3
43,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Fireworks CD 1 TRACK 1 (320).mp3
44,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Genshin Impact Raiden Shogun Theme (Judgement of Euthymia) EPIC VERSION.mp3
45,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Jack Trammell - Anger and Disdain.mp3
46,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"D:\Music\Anime OSTs and Game Music\Karakuri Defense System, Activate (Extended).mp3"
47,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Kaze ga Tsuyoku Fuiteiru Ending 1 Full _ Taichi Mukai – Reset _ Sub español - Lyrics(MP3_320K).mp3
48,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\My Hero Academia OST - You Say Run.mp3
49,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Naruto Shippuden - Girei.mp3
50,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Naruto Soundtrack - Naruto Main Theme.mp3
51,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\One Piece OST Power of the Red Moon.mp3
52,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Position Music - Catapult.mp3
53,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\POTC 2 Unreleased Score -  The Flying Dutchman.mp3
54,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Primary yuiko - in the Gardenオリジナル.mp3
55,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Sekiro OST - Divine Dragon.mp3
56,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Sekiro OST - Sword Saint.mp3
57,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Senbonzakura.mp3
58,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Shigatsu wa Kimi no Uso OST_ 18 - Yuujin A kun wo Watashi no Bansousha ni Ninmei Shimasu.mp3
59,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Shingeki no Kyojin - Fight Theme - use this for .FLAC vs .mp3
60,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\Stray kids - Scars.mp3
61,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\WhatsApp Audio 2021-08-22 at 12.42.26 PM.mp3
62,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D:\Music\Anime OSTs and Game Music\_MY HOOD ACADEMIA_ _You Say Run Remix!_ -Remix Maniacs.mp3
63,空を見ていた,岩崎琢,アカメが斬る！｜オリジナル・サウンドトラック Vol.2,J-Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\Akame ga kill OST\Akame ga Kill! Original Soundtrack Vol.2 [FLAC]\01. 空を見ていた.flac
64,アドラメレク,岩崎琢,アカメが斬る！｜オリジナル・サウンドトラック Vol.2,J-Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\Akame ga kill OST\Akame ga Kill! Original Soundtrack Vol.2 [FLAC]\02. アドラメレク.flac
65,見せしめ,岩崎琢,アカメが斬る！｜オリジナル・サウンドトラック Vol.2,J-Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\Akame ga kill OST\Akame ga Kill! Original Soundtrack Vol.2 [FLAC]\03. 見せしめ.flac
66,アカメ×クロメ,岩崎琢,アカメが斬る！｜オリジナル・サウンドトラック Vol.2,J-Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\Akame ga kill OST\Akame ga Kill! Original Soundtrack Vol.2 [FLAC]\04. アカメ×クロメ.flac
67,シコウテイザー,岩崎琢,アカメが斬る！｜オリジナル・サウンドトラック Vol.2,J-Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\Akame ga kill OST\Akame ga Kill! Original Soundtrack Vol.2 [FLAC]\05. シコウテイザー.flac
68,仲間の想い,岩崎琢,アカメが斬る！｜オリジナル・サウンドトラック Vol.2,J-Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\Akame ga kill OST\Akame ga Kill! Original Soundtrack Vol.2 [FLAC]\06. 仲間の想い.flac
69,ムラサメ,岩崎琢,アカメが斬る！｜オリジナル・サウンドトラック Vol.2,J-Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\Akame ga kill OST\Akame ga Kill! Original Soundtrack Vol.2 [FLAC]\07. ムラサメ.flac
70,アカメ×エスデス,岩崎琢,アカメが斬る！｜オリジナル・サウンドトラック Vol.2,J-Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\Akame ga kill OST\Akame ga Kill! Original Soundtrack Vol.2 [FLAC]\08. アカメ×エスデス.flac
71,みんなと逢える,岩崎琢,アカメが斬る！｜オリジナル・サウンドトラック Vol.2,J-Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\Akame ga kill OST\Akame ga Kill! Original Soundtrack Vol.2 [FLAC]\09. みんなと逢える.flac
72,共闘,岩崎琢,アカメが斬る！｜オリジナル・サウンドトラック Vol.2,J-Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\Akame ga kill OST\Akame ga Kill! Original Soundtrack Vol.2 [FLAC]\10. 共闘.flac
73,涙,岩崎琢,アカメが斬る！｜オリジナル・サウンドトラック Vol.2,J-Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\Akame ga kill OST\Akame ga Kill! Original Soundtrack Vol.2 [FLAC]\11. 涙.flac
74,クロメ,岩崎琢,アカメが斬る！｜オリジナル・サウンドトラック Vol.2,J-Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\Akame ga kill OST\Akame ga Kill! Original Soundtrack Vol.2 [FLAC]\12. クロメ.flac
75,変わることのない過去,岩崎琢,アカメが斬る！｜オリジナル・サウンドトラック Vol.2,J-Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\Akame ga kill OST\Akame ga Kill! Original Soundtrack Vol.2 [FLAC]\13. 変わることのない過去.flac
76,安寧道,岩崎琢,アカメが斬る！｜オリジナル・サウンドトラック Vol.2,J-Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\Akame ga kill OST\Akame ga Kill! Original Soundtrack Vol.2 [FLAC]\14. 安寧道.flac
77,不穏,岩崎琢,アカメが斬る！｜オリジナル・サウンドトラック Vol.2,J-Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\Akame ga kill OST\Akame ga Kill! Original Soundtrack Vol.2 [FLAC]\15. 不穏.flac
78,印象,岩崎琢,アカメが斬る！｜オリジナル・サウンドトラック Vol.2,J-Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\Akame ga kill OST\Akame ga Kill! Original Soundtrack Vol.2 [FLAC]\16. 印象.flac
79,巨大危険種,岩崎琢,アカメが斬る！｜オリジナル・サウンドトラック Vol.2,J-Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\Akame ga kill OST\Akame ga Kill! Original Soundtrack Vol.2 [FLAC]\17. 巨大危険種.flac
80,デモンズエキス,岩崎琢,アカメが斬る！｜オリジナル・サウンドトラック Vol.2,J-Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\Akame ga kill OST\Akame ga Kill! Original Soundtrack Vol.2 [FLAC]\18. デモンズエキス.flac
81,対峙,岩崎琢,アカメが斬る！｜オリジナル・サウンドトラック Vol.2,J-Pop,UNKNOWN,D:\Music\Anime OSTs and Game Music\Akame ga kill OST\Akame ga Kill! Original Soundtrack Vol.2 [FLAC]\19. 対峙.flac
82,Shingeki st-hrn-egt20130629 Kyojin,Hiroyuki Sawano,Attack on Titan Original Soundtrack II,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Original Soundtrack II [FLAC]\Attack on Titan Original Soundtrack II [FLAC]\01. Shingeki st-hrn-egt20130629 Kyojin.flac
83,Shingeki pf20130218 Kyojin,Hiroyuki Sawano,Attack on Titan Original Soundtrack II,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Original Soundtrack II [FLAC]\Attack on Titan Original Soundtrack II [FLAC]\02. Shingeki pf20130218 Kyojin.flac
84,Shingeki gt20130218 Kyojin,Hiroyuki Sawano,Attack on Titan Original Soundtrack II,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Original Soundtrack II [FLAC]\Attack on Titan Original Soundtrack II [FLAC]\03. Shingeki gt20130218 Kyojin.flac
85,Shingeki st-hrn-gt-pf20130629 Kyojin,Hiroyuki Sawano,Attack on Titan Original Soundtrack II,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Original Soundtrack II [FLAC]\Attack on Titan Original Soundtrack II [FLAC]\04. Shingeki st-hrn-gt-pf20130629 Kyojin.flac
86,Shingeki vc-pf20130218 Kyojin,Hiroyuki Sawano,Attack on Titan Original Soundtrack II,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Original Soundtrack II [FLAC]\Attack on Titan Original Soundtrack II [FLAC]\05. Shingeki vc-pf20130218 Kyojin.flac
87,Shingeki vn-pf20130524 Kyojin,Hiroyuki Sawano,Attack on Titan Original Soundtrack II,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Original Soundtrack II [FLAC]\Attack on Titan Original Soundtrack II [FLAC]\06. Shingeki vn-pf20130524 Kyojin.flac
88,Shingeki pf-adlib-b20130218 Kyojin,Hiroyuki Sawano,Attack on Titan Original Soundtrack II,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Original Soundtrack II [FLAC]\Attack on Titan Original Soundtrack II [FLAC]\07. Shingeki pf-adlib-b20130218 Kyojin.flac
89,Shingeki st20130629 Kyojin,Hiroyuki Sawano,Attack on Titan Original Soundtrack II,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Original Soundtrack II [FLAC]\Attack on Titan Original Soundtrack II [FLAC]\08. Shingeki st20130629 Kyojin.flac
90,Shingeki pf-adlib-c20130218 Kyojin,Hiroyuki Sawano,Attack on Titan Original Soundtrack II,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Original Soundtrack II [FLAC]\Attack on Titan Original Soundtrack II [FLAC]\09. Shingeki pf-adlib-c20130218 Kyojin.flac
91,Shingeki st-hrn-gt20130629 Kyojin,Hiroyuki Sawano,Attack on Titan Original Soundtrack II,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Original Soundtrack II [FLAC]\Attack on Titan Original Soundtrack II [FLAC]\10. Shingeki st-hrn-gt20130629 Kyojin.flac
92,Shingeki pf-medley20130629 Kyojin,Hiroyuki Sawano,Attack on Titan Original Soundtrack II,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Original Soundtrack II [FLAC]\Attack on Titan Original Soundtrack II [FLAC]\11. Shingeki pf-medley20130629 Kyojin.flac
93,Barricades,"yosh, Gemie, mpi",Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 1\01. Barricades.flac
94,APETITAN,Hiroyuki Sawano,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 1\02. APETITAN.flac
95,YouSeeBIGGIRL/T:T,Gemie,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 1\03. YouSeeBIGGIRL-T-T.flac
96,son2seaVer,Hiroyuki Sawano,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 1\04. son2seaVer.flac
97,Call of Silence,Gemie,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 1\05. Call of Silence.flac
98,ERENthe標,Hiroyuki Sawano,Attack on Titan Season 2 Original Soundtrack,Anime Soundtrack,UNKNOWN,D:\Music\Anime OSTs and Game Music\Attack on Titan Season 2 Original Soundtrack [FLAC]\Attack on Titan Season 2 Original Soundtrack [FLAC]\Disc 1\06. ERENthe標.flac
